,payment method,categoria Horeca,metodo Pagamento,venduto,citta,macroregione,regione,provincia,data,transazione media,Profitto
0,contante,Enoteca,bancomat,158302,Barone Canavese,Nord-ovest,Piemonte,Torino,2019-01-01,40,53122
1,buono pasto,Enoteca,carta fedelta,151269,Barone Canavese,Nord-ovest,Piemonte,Torino,2019-01-02,95,39205
2,maestro,Pasticceria,maestro,190291,Barone Canavese,Nord-ovest,Piemonte,Torino,2019-01-03,63,11736
3,mastercard,Enoteca,postepay,363309,Barone Canavese,Nord-ovest,Piemonte,Torino,2019-01-04,68,4558
4,bancomat,Pizzeria,contante,810519,Barone Canavese,Nord-ovest,Piemonte,Torino,2019-01-05,88,307160
5,carta fedelta,Pasticceria,carta fedelta,882948,Barone Canavese,Nord-ovest,Piemonte,Torino,2019-01-06,32,370372
6,visa,Pizzeria,maestro,5037890,Barone Canavese,Nord-ovest,Piemonte,Torino,2019-01-07,29,426198
7,postepay,Pasticceria,visa,787792,Barone Canavese,Nord-ovest,Piemonte,Torino,2019-01-08,62,341461
8,paypal,Ristorante,mastercard,841289,Barone Canavese,Nord-ovest,Piemonte,Torino,2019-01-09,22,145897
9,satispay,Pasticceria,bancomat,940350,Barone Canavese,Nord-ovest,Piemonte,Torino,2019-01-10,40,35072
10,contante,Bar,postepay,197660,Brusasco,Nord-ovest,Piemonte,Torino,2019-01-11,53,62146
11,buono pasto,Ristorante,maestro,6291,Brusasco,Nord-ovest,Piemonte,Torino,2019-01-12,58,1335
12,maestro,Pasticceria,visa,371333,Brusasco,Nord-ovest,Piemonte,Torino,2019-01-13,5,176634
13,mastercard,Pasticceria,paypal,201327,Brusasco,Nord-ovest,Piemonte,Torino,2019-01-14,74,2693
14,bancomat,Pasticceria,satispay,760724,Brusasco,Nord-ovest,Piemonte,Torino,2019-01-15,51,285071
15,carta fedelta,Pasticceria,maestro,567867,Brusasco,Nord-ovest,Piemonte,Torino,2019-01-16,54,172504
16,visa,Stabilimento Balneare,bancomat,148636,Brusasco,Nord-ovest,Piemonte,Torino,2019-01-17,48,26583
17,postepay,Stabilimento Balneare,maestro,309956,Brusasco,Nord-ovest,Piemonte,Torino,2019-01-18,48,67196
18,paypal,Ristorante,satispay,506556,Brusasco,Nord-ovest,Piemonte,Torino,2019-01-19,41,70200
19,satispay,Bar,postepay,9033200,Brusasco,Nord-ovest,Piemonte,Torino,2019-01-20,81,4357875
20,contante,Pasticceria,satispay,681202,Cavagnolo,Nord-ovest,Piemonte,Torino,2019-01-21,88,134357
21,buono pasto,Pizzeria,buono pasto,115165,Cavagnolo,Nord-ovest,Piemonte,Torino,2019-01-22,62,9530
22,maestro,Bar,contante,220153,Cavagnolo,Nord-ovest,Piemonte,Torino,2019-01-23,99,64778
23,mastercard,Stabilimento Balneare,contante,998277,Cavagnolo,Nord-ovest,Piemonte,Torino,2019-01-24,18,259256
24,bancomat,Enoteca,bancomat,197585,Cavagnolo,Nord-ovest,Piemonte,Torino,2019-01-25,4,63023
25,carta fedelta,Stabilimento Balneare,bancomat,899044,Cavagnolo,Nord-ovest,Piemonte,Torino,2019-01-26,30,23772
26,visa,Stabilimento Balneare,mastercard,352000,Cavagnolo,Nord-ovest,Piemonte,Torino,2019-01-27,2,9880
27,postepay,Stabilimento Balneare,mastercard,767995,Cavagnolo,Nord-ovest,Piemonte,Torino,2019-01-28,12,236791
28,paypal,Pasticceria,maestro,396591,Cavagnolo,Nord-ovest,Piemonte,Torino,2019-01-29,73,118019
29,satispay,Bar,maestro,335668,Cavagnolo,Nord-ovest,Piemonte,Torino,2019-01-30,58,142089
30,contante,Ristorante,contante,891806,Feletto,Nord-ovest,Piemonte,Torino,2019-01-31,14,228230
31,buono pasto,Ristorante,carta fedelta,79655,Feletto,Nord-ovest,Piemonte,Torino,2019-02-01,41,28020
32,maestro,Ristorante,contante,294509,Feletto,Nord-ovest,Piemonte,Torino,2019-02-02,14,34856
33,mastercard,Pizzeria,maestro,43012,Feletto,Nord-ovest,Piemonte,Torino,2019-02-03,47,9327
34,bancomat,Enoteca,contante,556715,Feletto,Nord-ovest,Piemonte,Torino,2019-02-04,46,130119
35,carta fedelta,Enoteca,carta fedelta,597824,Feletto,Nord-ovest,Piemonte,Torino,2019-02-05,18,99980
36,visa,Ristorante,maestro,120782,Feletto,Nord-ovest,Piemonte,Torino,2019-02-06,86,13324
37,postepay,Bar,buono pasto,776032,Feletto,Nord-ovest,Piemonte,Torino,2019-02-07,45,63633
38,paypal,Pasticceria,visa,189725,Feletto,Nord-ovest,Piemonte,Torino,2019-02-08,58,8103
39,satispay,Hotel,bancomat,221468,Feletto,Nord-ovest,Piemonte,Torino,2019-02-09,21,97329
40,contante,Hotel,carta fedelta,291464,Issiglio,Nord-ovest,Piemonte,Torino,2019-02-10,99,118159
41,buono pasto,Ristorante,mastercard,80468,Issiglio,Nord-ovest,Piemonte,Torino,2019-02-11,4,39061
42,maestro,Ristorante,postepay,129824,Issiglio,Nord-ovest,Piemonte,Torino,2019-02-12,20,42361
43,mastercard,Pizzeria,contante,561757,Issiglio,Nord-ovest,Piemonte,Torino,2019-02-13,64,243417
44,bancomat,Pizzeria,contante,382893,Issiglio,Nord-ovest,Piemonte,Torino,2019-02-14,48,54436
45,carta fedelta,Hotel,contante,430482,Issiglio,Nord-ovest,Piemonte,Torino,2019-02-15,52,93752
46,visa,Hotel,carta fedelta,870295,Issiglio,Nord-ovest,Piemonte,Torino,2019-02-16,38,392271
47,postepay,Stabilimento Balneare,carta fedelta,360226,Issiglio,Nord-ovest,Piemonte,Torino,2019-02-17,33,90744
48,paypal,Enoteca,buono pasto,395597,Issiglio,Nord-ovest,Piemonte,Torino,2019-02-18,69,38183
49,satispay,Ristorante,mastercard,879496,Issiglio,Nord-ovest,Piemonte,Torino,2019-02-19,3,154636
50,contante,Hotel,mastercard,329996,Pratiglione,Nord-ovest,Piemonte,Torino,2019-02-20,31,34259
51,buono pasto,Stabilimento Balneare,maestro,614109,Pratiglione,Nord-ovest,Piemonte,Torino,2019-02-21,86,15381
52,maestro,Ristorante,postepay,996678,Pratiglione,Nord-ovest,Piemonte,Torino,2019-02-22,46,189472
53,mastercard,Ristorante,satispay,184322,Pratiglione,Nord-ovest,Piemonte,Torino,2019-02-23,31,3765
54,bancomat,Bar,buono pasto,81434,Pratiglione,Nord-ovest,Piemonte,Torino,2019-02-24,4,20322
55,carta fedelta,Stabilimento Balneare,paypal,983665,Pratiglione,Nord-ovest,Piemonte,Torino,2019-02-25,34,261652
56,visa,Pizzeria,visa,410558,Pratiglione,Nord-ovest,Piemonte,Torino,2019-02-26,89,163741
57,postepay,Pasticceria,carta fedelta,684588,Pratiglione,Nord-ovest,Piemonte,Torino,2019-02-27,9,256788
58,paypal,Stabilimento Balneare,buono pasto,283468,Pratiglione,Nord-ovest,Piemonte,Torino,2019-02-28,44,58179
59,satispay,Enoteca,buono pasto,43379,Pratiglione,Nord-ovest,Piemonte,Torino,2019-03-01,12,18050
60,contante,Hotel,maestro,284820,Riva presso Chieri,Nord-ovest,Piemonte,Torino,2019-03-02,63,29494
61,buono pasto,Pasticceria,carta fedelta,579738,Riva presso Chieri,Nord-ovest,Piemonte,Torino,2019-03-03,72,82678
62,maestro,Ristorante,carta fedelta,789565,Riva presso Chieri,Nord-ovest,Piemonte,Torino,2019-03-04,39,201045
63,mastercard,Hotel,mastercard,570644,Riva presso Chieri,Nord-ovest,Piemonte,Torino,2019-03-05,24,87551
64,bancomat,Stabilimento Balneare,bancomat,606596,Riva presso Chieri,Nord-ovest,Piemonte,Torino,2019-03-06,16,199463
65,carta fedelta,Stabilimento Balneare,carta fedelta,830868,Riva presso Chieri,Nord-ovest,Piemonte,Torino,2019-03-07,84,24388
66,visa,Hotel,buono pasto,5191,Riva presso Chieri,Nord-ovest,Piemonte,Torino,2019-03-08,62,58
67,postepay,Bar,carta fedelta,722690,Riva presso Chieri,Nord-ovest,Piemonte,Torino,2019-03-09,34,86510
68,paypal,Enoteca,visa,59617,Riva presso Chieri,Nord-ovest,Piemonte,Torino,2019-03-10,47,18610
69,satispay,Enoteca,carta fedelta,324237,Riva presso Chieri,Nord-ovest,Piemonte,Torino,2019-03-11,64,159213
70,contante,Bar,maestro,727239,Rocca Canavese,Nord-ovest,Piemonte,Torino,2019-03-12,69,249289
71,buono pasto,Pizzeria,contante,41839,Rocca Canavese,Nord-ovest,Piemonte,Torino,2019-03-13,92,14967
72,maestro,Pizzeria,maestro,607879,Rocca Canavese,Nord-ovest,Piemonte,Torino,2019-03-14,20,225204
73,mastercard,Hotel,contante,414298,Rocca Canavese,Nord-ovest,Piemonte,Torino,2019-03-15,21,146006
