,Unnamed: 0,service,location,products,reviewName,text,score,date,url,client
0,0,-1,-1,-1,Pranzo al fresco! - La Sorgente,Bellissimo ristoranti sulle montagne di Canzo...ottimo punto di partenza per mille escursioni!...cibo buonissimo...servizio eccellente e simpatico...prezzi giusti...da venire assolutamente!,5,2021-08-22,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r805587115-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
1,1,-1,-1,-1,Torta di mele - La Sorgente,"Dopo una passeggiata nel verde, respirando aria fine e godendo di un panorama meraviglioso, ci siamo fermati qui a gustare una fetta di torta. Siamo stati fortunatissimi: era stata sfornata da poco una meravigliosa torta di mele, la migliore che io abbia mai mangiato! Era ancora tiepida, e il suo profumo allietava ancor prima che arrivassi. La dose è generosa, l'abbinamento con un bicchiere di prosecco l'ha resa una merenda meravigliosa.",5,2019-08-27,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r703546645-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
2,2,-1,-1,-1,A Gajum da sempre - La Sorgente,"Ogni volta che torno a Canzo è torno qui a mangiare, da sempre,on Le tagliatelle ai funghi sono proprio buone. Anni fa era possibile mangiare in quel bel giardino alle spalle, ormai abbandonato e dismesso. Una gestione antica, familiare che suscita bei ricordi.",3,2017-08-18,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r514944804-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
3,3,-1,-1,-1,pessimo. sconsigliabile alle persone - La Sorgente,"pessimo, almeno nell'atteggiamento e nel modo di rapportarsi con gli avventori. un improvviso acquazzone durante un aperitivo (40euro!) ci ha costretti ad interromperlo. hanno avuto da ridire perché avremmo dovuto, ""per educazione (sic!) sgomberare il tavolo per evitare che si bagnasse la tovaglia!"". Non è mancato nemmo che il ""gradasso di turno"" , -il cuoco?- che, a braccia conserte, si aspettava qualcosa che non è arrivato!!!!",1,2018-08-01,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r601838598-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
4,4,-1,-1,-1,punto di partenza - La Sorgente,"punto di partenza ed arrivo per una escursione ai Corni di Canzo, offre la possibilità di fare colazione e di fermarsi dopo l'ercursione, conviene lasciare l'auto in paese, i parcheggi sono pochi.",3,2017-04-03,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r472332041-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
5,5,-1,-1,-1,Torta di mele - La Sorgente,"Dopo una passeggiata nel verde, respirando aria fine e godendo di un panorama meraviglioso, ci siamo fermati qui a gustare una fetta di torta. Siamo stati fortunatissimi: era stata sfornata da poco una meravigliosa torta di mele, la migliore che io abbia mai mangiato! Era ancora tiepida, e il suo profumo allietava ancor prima che arrivassi. La dose è generosa, l'abbinamento con un bicchiere di prosecco l'ha resa una merenda meravigliosa.",5,2019-08-27,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r703546645-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
6,6,-1,-1,-1,Pranzo al fresco! - La Sorgente,Bellissimo ristoranti sulle montagne di Canzo...ottimo punto di partenza per mille escursioni!...cibo buonissimo...servizio eccellente e simpatico...prezzi giusti...da venire assolutamente!,5,2021-08-22,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r805587115-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
7,7,-1,-1,-1,pessimo. sconsigliabile alle persone - La Sorgente,"pessimo, almeno nell'atteggiamento e nel modo di rapportarsi con gli avventori. un improvviso acquazzone durante un aperitivo (40euro!) ci ha costretti ad interromperlo. hanno avuto da ridire perché avremmo dovuto, ""per educazione (sic!) sgomberare il tavolo per evitare che si bagnasse la tovaglia!"". Non è mancato nemmo che il ""gradasso di turno"" , -il cuoco?- che, a braccia conserte, si aspettava qualcosa che non è arrivato!!!!",1,2018-08-01,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r601838598-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
8,8,-1,-1,-1,A Gajum da sempre - La Sorgente,"Ogni volta che torno a Canzo è torno qui a mangiare, da sempre,on Le tagliatelle ai funghi sono proprio buone. Anni fa era possibile mangiare in quel bel giardino alle spalle, ormai abbandonato e dismesso. Una gestione antica, familiare che suscita bei ricordi.",3,2017-08-18,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r514944804-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
9,9,-1,-1,-1,punto di partenza - La Sorgente,"punto di partenza ed arrivo per una escursione ai Corni di Canzo, offre la possibilità di fare colazione e di fermarsi dopo l'ercursione, conviene lasciare l'auto in paese, i parcheggi sono pochi.",3,2017-04-03,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r472332041-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
