,Unnamed: 0,location,method,methodValue,month,city,province,zipCode,provinceName,macroRegion,region
0,0,lct_xyzw,bancomat,573822,2,Colturano,MI,20060,Milano,Nord-ovest,Lombardia
1,1,lct_xyzw,cash,820108,2,Colturano,MI,20060,Milano,Nord-ovest,Lombardia
2,2,lct_xyzw,cash,341207,1,Colturano,MI,20060,Milano,Nord-ovest,Lombardia
3,3,lct_xyzw,bancomat,1227101,3,Colturano,MI,20060,Milano,Nord-ovest,Lombardia
4,4,lct_xyzw,cash,1815566,3,Colturano,MI,20060,Milano,Nord-ovest,Lombardia
5,5,lct_xyzw,outstanding,1588587,3,Bari,BA,70124,Bari,Sud,Puglia
6,6,lct_xyzw,cash,920627,1,Bari,BA,70124,Bari,Sud,Puglia
7,7,lct_xyzw,outstanding,1852772,1,Bari,BA,70124,Bari,Sud,Puglia
8,8,lct_xyzw,cash,1101592,2,Bari,BA,70124,Bari,Sud,Puglia
9,9,lct_xyzw,credit-card,477412,3,Bari,BA,70124,Bari,Sud,Puglia
10,10,lct_xyzw,credit-card,861282,2,Bari,BA,70124,Bari,Sud,Puglia
11,11,lct_xyzw,cash,441247,3,Bari,BA,70124,Bari,Sud,Puglia
12,12,lct_xyzw,outstanding,665343,2,Bari,BA,70124,Bari,Sud,Puglia
13,13,lct_xyzw,credit-card,16941,1,Bari,BA,70124,Bari,Sud,Puglia
14,14,lct_xyzw,cash,1382811,3,Nocera Inferiore,SA,84014,Salerno,Sud,Campania
15,15,lct_xyzw,bank-transfer,1294833,3,Nocera Inferiore,SA,84014,Salerno,Sud,Campania
16,16,lct_xyzw,bancomat,1739420,2,Nocera Inferiore,SA,84014,Salerno,Sud,Campania
17,17,lct_xyzw,bank-transfer,773486,1,Nocera Inferiore,SA,84014,Salerno,Sud,Campania
18,18,lct_xyzw,bank-transfer,736113,2,Nocera Inferiore,SA,84014,Salerno,Sud,Campania
19,19,lct_xyzw,credit-card,630763,3,Nocera Inferiore,SA,84014,Salerno,Sud,Campania
20,20,lct_xyzw,credit-card,1786279,2,Nocera Inferiore,SA,84014,Salerno,Sud,Campania
21,21,lct_xyzw,cash,1094576,1,Nocera Inferiore,SA,84014,Salerno,Sud,Campania
22,22,lct_xyzw,cash,1639003,2,Nocera Inferiore,SA,84014,Salerno,Sud,Campania
23,23,lct_xyzw,bancomat,1317379,1,Nocera Inferiore,SA,84014,Salerno,Sud,Campania
24,24,lct_xyzw,credit-card,499694,1,Nocera Inferiore,SA,84014,Salerno,Sud,Campania
25,25,lct_xyzw,cash,1312371,2,Milano,MI,20124,Milano,Nord-ovest,Lombardia
26,26,lct_xyzw,credit-card,1684792,2,Milano,MI,20124,Milano,Nord-ovest,Lombardia
27,27,lct_xyzw,bancomat,675004,2,Milano,MI,20124,Milano,Nord-ovest,Lombardia
28,28,lct_xyzw,credit-card,82699,1,Milano,MI,20124,Milano,Nord-ovest,Lombardia
29,29,lct_xyzw,ticket,401110,1,Milano,MI,20124,Milano,Nord-ovest,Lombardia
30,30,lct_xyzw,outstanding,1267695,2,Milano,MI,20124,Milano,Nord-ovest,Lombardia
31,31,lct_xyzw,voucher,236228,2,Milano,MI,20124,Milano,Nord-ovest,Lombardia
32,32,lct_xyzw,cash,1737413,3,Milano,MI,20124,Milano,Nord-ovest,Lombardia
33,33,lct_xyzw,outstanding,461467,3,Milano,MI,20124,Milano,Nord-ovest,Lombardia
34,34,lct_xyzw,bancomat,57887,3,Milano,MI,20124,Milano,Nord-ovest,Lombardia
35,35,lct_xyzw,ticket,1351364,2,Milano,MI,20124,Milano,Nord-ovest,Lombardia
36,36,lct_xyzw,voucher,924762,1,Milano,MI,20124,Milano,Nord-ovest,Lombardia
37,37,lct_xyzw,ticket,1683614,3,Milano,MI,20124,Milano,Nord-ovest,Lombardia
38,38,lct_xyzw,outstanding,1148605,1,Milano,MI,20124,Milano,Nord-ovest,Lombardia
39,39,lct_xyzw,voucher,455229,3,Milano,MI,20124,Milano,Nord-ovest,Lombardia
40,40,lct_xyzw,bancomat,91938,1,Milano,MI,20124,Milano,Nord-ovest,Lombardia
41,41,lct_xyzw,credit-card,340909,3,Milano,MI,20124,Milano,Nord-ovest,Lombardia
42,42,lct_xyzw,cash,1829390,1,Milano,MI,20124,Milano,Nord-ovest,Lombardia
43,43,lct_xyzw,bancomat,1908657,3,Milano,MI,20124,Milano,Nord-ovest,Lombardia
44,44,lct_xyzw,bancomat,1215052,1,Milano,MI,20124,Milano,Nord-ovest,Lombardia
45,45,lct_xyzw,cash,884109,2,Milano,MI,20124,Milano,Nord-ovest,Lombardia
46,46,lct_xyzw,cash,716123,1,Milano,MI,20124,Milano,Nord-ovest,Lombardia
47,47,lct_xyzw,credit-card,783430,3,Milano,MI,20124,Milano,Nord-ovest,Lombardia
48,48,lct_xyzw,credit-card,736255,2,Milano,MI,20124,Milano,Nord-ovest,Lombardia
49,49,lct_xyzw,credit-card,118139,1,Milano,MI,20124,Milano,Nord-ovest,Lombardia
50,50,lct_xyzw,bank-transfer,1560227,3,Milano,MI,20124,Milano,Nord-ovest,Lombardia
51,51,lct_xyzw,bancomat,1785413,2,Milano,MI,20124,Milano,Nord-ovest,Lombardia
52,52,lct_xyzw,cash,1401832,3,Milano,MI,20124,Milano,Nord-ovest,Lombardia
53,53,lct_xyzw,bank-transfer,1793392,2,Milano,MI,20124,Milano,Nord-ovest,Lombardia
54,54,lct_xyzw,bank-transfer,944511,1,Milano,MI,20124,Milano,Nord-ovest,Lombardia
55,55,lct_xyzw,bank-transfer,935931,2,Lecco,LC,23900,Lecco,Nord-ovest,Lombardia
56,56,lct_xyzw,voucher,345230,2,Lecco,LC,23900,Lecco,Nord-ovest,Lombardia
57,57,lct_xyzw,credit-card,1119754,2,Lecco,LC,23900,Lecco,Nord-ovest,Lombardia
58,58,lct_xyzw,charge,717090,2,Lecco,LC,23900,Lecco,Nord-ovest,Lombardia
59,59,lct_xyzw,bancomat,1924310,2,Lecco,LC,23900,Lecco,Nord-ovest,Lombardia
60,60,lct_xyzw,voucher,1862105,1,Lecco,LC,23900,Lecco,Nord-ovest,Lombardia
61,61,lct_xyzw,visa,846367,2,Lecco,LC,23900,Lecco,Nord-ovest,Lombardia
62,62,lct_xyzw,outstanding,469628,1,Lecco,LC,23900,Lecco,Nord-ovest,Lombardia
63,63,lct_xyzw,charge,1212741,1,Lecco,LC,23900,Lecco,Nord-ovest,Lombardia
64,64,lct_xyzw,mastercard,610744,2,Lecco,LC,23900,Lecco,Nord-ovest,Lombardia
65,65,lct_xyzw,bancomat,283663,3,Lecco,LC,23900,Lecco,Nord-ovest,Lombardia
66,66,lct_xyzw,cash,1158645,3,Lecco,LC,23900,Lecco,Nord-ovest,Lombardia
67,67,lct_xyzw,bank-check,7626,3,Lecco,LC,23900,Lecco,Nord-ovest,Lombardia
68,68,lct_xyzw,bancomat,1890605,1,Lecco,LC,23900,Lecco,Nord-ovest,Lombardia
69,69,lct_xyzw,fidelity-card-points,1536147,1,Lecco,LC,23900,Lecco,Nord-ovest,Lombardia
70,70,lct_xyzw,bank-check,1529697,1,Lecco,LC,23900,Lecco,Nord-ovest,Lombardia
71,71,lct_xyzw,ticket,1479151,2,Lecco,LC,23900,Lecco,Nord-ovest,Lombardia
72,72,lct_xyzw,fidelity-card-points,1118896,2,Lecco,LC,23900,Lecco,Nord-ovest,Lombardia
73,73,lct_xyzw,ticket,682731,1,Lecco,LC,23900,Lecco,Nord-ovest,Lombardia
74,74,lct_xyzw,outstanding,984466,2,Lecco,LC,23900,Lecco,Nord-ovest,Lombardia
75,75,lct_xyzw,cash,498564,1,Lecco,LC,23900,Lecco,Nord-ovest,Lombardia
76,76,lct_xyzw,bank-check,1100141,2,Lecco,LC,23900,Lecco,Nord-ovest,Lombardia
77,77,lct_xyzw,cash,1508961,2,Lecco,LC,23900,Lecco,Nord-ovest,Lombardia
78,78,lct_xyzw,credit-card,1955875,1,Lecco,LC,23900,Lecco,Nord-ovest,Lombardia
79,79,lct_xyzw,visa,1718090,3,Cagliari,CA,9124,Cagliari,Isole,Sardegna
80,80,lct_xyzw,cash,1997076,3,Cagliari,CA,9124,Cagliari,Isole,Sardegna
81,81,lct_xyzw,bancomat,1703379,3,Cagliari,CA,9124,Cagliari,Isole,Sardegna
82,82,lct_xyzw,credit-card,1308800,3,Cagliari,CA,9124,Cagliari,Isole,Sardegna
83,83,lct_xyzw,bancomat,674022,1,Tarquinia,RM,1016,Roma,Centro,Lazio
84,84,lct_xyzw,cash,1747407,3,Tarquinia,RM,1016,Roma,Centro,Lazio
85,85,lct_xyzw,credit-card,1802135,2,Tarquinia,RM,1016,Roma,Centro,Lazio
86,86,lct_xyzw,credit-card,1979449,3,Tarquinia,RM,1016,Roma,Centro,Lazio
87,87,lct_xyzw,bancomat,222022,2,Tarquinia,RM,1016,Roma,Centro,Lazio
88,88,lct_xyzw,cash,1956699,2,Tarquinia,RM,1016,Roma,Centro,Lazio
89,89,lct_xyzw,cash,292053,1,Tarquinia,RM,1016,Roma,Centro,Lazio
90,90,lct_xyzw,credit-card,362662,1,Tarquinia,RM,1016,Roma,Centro,Lazio
91,91,lct_xyzw,bancomat,405758,2,San Giovanni Lupatoto,VR,37057,Verona,Nord-est,Veneto
92,92,lct_xyzw,cash,706368,3,San Giovanni Lupatoto,VR,37057,Verona,Nord-est,Veneto
93,93,lct_xyzw,bancomat,1771470,1,San Giovanni Lupatoto,VR,37057,Verona,Nord-est,Veneto
94,94,lct_xyzw,credit-card,1068451,3,San Giovanni Lupatoto,VR,37057,Verona,Nord-est,Veneto
95,95,lct_xyzw,cash,380164,2,San Giovanni Lupatoto,VR,37057,Verona,Nord-est,Veneto
96,96,lct_xyzw,cash,1852488,1,San Giovanni Lupatoto,VR,37057,Verona,Nord-est,Veneto
97,97,lct_xyzw,bancomat,1675637,3,San Giovanni Lupatoto,VR,37057,Verona,Nord-est,Veneto
98,98,lct_xyzw,credit-card,1050632,2,San Giovanni Lupatoto,VR,37057,Verona,Nord-est,Veneto
99,99,lct_xyzw,credit-card,495953,1,Pontirolo Nuovo,BG,24040,Bergamo,Nord-ovest,Lombardia
100,100,lct_xyzw,cash,1342449,2,Pontirolo Nuovo,BG,24040,Bergamo,Nord-ovest,Lombardia
101,101,lct_xyzw,credit-card,1408601,2,Pontirolo Nuovo,BG,24040,Bergamo,Nord-ovest,Lombardia
102,102,lct_xyzw,cash,347892,1,Pontirolo Nuovo,BG,24040,Bergamo,Nord-ovest,Lombardia
103,103,lct_xyzw,bancomat,1806279,3,Pontirolo Nuovo,BG,24040,Bergamo,Nord-ovest,Lombardia
104,104,lct_xyzw,satispay,242487,1,Pontirolo Nuovo,BG,24040,Bergamo,Nord-ovest,Lombardia
105,105,lct_xyzw,bancomat,131365,2,Pontirolo Nuovo,BG,24040,Bergamo,Nord-ovest,Lombardia
106,106,lct_xyzw,cash,915590,3,Pontirolo Nuovo,BG,24040,Bergamo,Nord-ovest,Lombardia
107,107,lct_xyzw,bancomat,1363575,1,Pontirolo Nuovo,BG,24040,Bergamo,Nord-ovest,Lombardia
108,108,lct_xyzw,satispay,589313,2,Pontirolo Nuovo,BG,24040,Bergamo,Nord-ovest,Lombardia
109,109,lct_xyzw,outstanding,1357650,3,Milano,MI,20121,Milano,Nord-ovest,Lombardia
110,110,lct_xyzw,ticket,193855,2,Milano,MI,20121,Milano,Nord-ovest,Lombardia
111,111,lct_xyzw,credit-card,155334,3,Milano,MI,20121,Milano,Nord-ovest,Lombardia
112,112,lct_xyzw,credit-card,79626,2,Milano,MI,20121,Milano,Nord-ovest,Lombardia
113,113,lct_xyzw,satispay,1964603,2,Milano,MI,20121,Milano,Nord-ovest,Lombardia
114,114,lct_xyzw,cash,957368,2,Milano,MI,20121,Milano,Nord-ovest,Lombardia
115,115,lct_xyzw,outstanding,1247070,2,Milano,MI,20121,Milano,Nord-ovest,Lombardia
116,116,lct_xyzw,bancomat,1361563,3,Milano,MI,20121,Milano,Nord-ovest,Lombardia
117,117,lct_xyzw,bank-check,721556,2,Milano,MI,20121,Milano,Nord-ovest,Lombardia
118,118,lct_xyzw,voucher,1880068,2,Milano,MI,20121,Milano,Nord-ovest,Lombardia
119,119,lct_xyzw,cash,354354,3,Milano,MI,20121,Milano,Nord-ovest,Lombardia
120,120,lct_xyzw,ticket,168717,3,Milano,MI,20121,Milano,Nord-ovest,Lombardia
121,121,lct_xyzw,bancomat,546242,2,Milano,MI,20121,Milano,Nord-ovest,Lombardia
122,122,lct_xyzw,cash,106379,3,Milano,MI,20149,Milano,Nord-ovest,Lombardia
123,123,lct_xyzw,credit-card,151750,3,Milano,MI,20149,Milano,Nord-ovest,Lombardia
124,124,lct_xyzw,outstanding,347973,3,Milano,MI,20149,Milano,Nord-ovest,Lombardia
125,125,lct_xyzw,credit-card,1282719,1,San Mauro a Signa,FI,50058,Firenze,Centro,Toscana
126,126,lct_xyzw,bank-transfer,1641382,1,San Mauro a Signa,FI,50058,Firenze,Centro,Toscana
127,127,lct_xyzw,credit-card,477549,2,San Mauro a Signa,FI,50058,Firenze,Centro,Toscana
128,128,lct_xyzw,credit-card,923971,3,San Mauro a Signa,FI,50058,Firenze,Centro,Toscana
129,129,lct_xyzw,bancomat,237560,2,San Mauro a Signa,FI,50058,Firenze,Centro,Toscana
130,130,lct_xyzw,ticket,134132,1,San Mauro a Signa,FI,50058,Firenze,Centro,Toscana
131,131,lct_xyzw,cash,1521037,2,San Mauro a Signa,FI,50058,Firenze,Centro,Toscana
132,132,lct_xyzw,cash,554074,1,San Mauro a Signa,FI,50058,Firenze,Centro,Toscana
133,133,lct_xyzw,ticket,1414761,2,San Mauro a Signa,FI,50058,Firenze,Centro,Toscana
134,134,lct_xyzw,voucher,722886,3,San Mauro a Signa,FI,50058,Firenze,Centro,Toscana
135,135,lct_xyzw,bancomat,1752803,3,San Mauro a Signa,FI,50058,Firenze,Centro,Toscana
136,136,lct_xyzw,bancomat,843682,1,San Mauro a Signa,FI,50058,Firenze,Centro,Toscana
137,137,lct_xyzw,voucher,1183764,2,San Mauro a Signa,FI,50058,Firenze,Centro,Toscana
138,138,lct_xyzw,voucher,1332788,1,San Mauro a Signa,FI,50058,Firenze,Centro,Toscana
139,139,lct_xyzw,ticket,1218112,3,San Mauro a Signa,FI,50058,Firenze,Centro,Toscana
140,140,lct_xyzw,cash,78569,3,San Mauro a Signa,FI,50058,Firenze,Centro,Toscana
141,141,lct_xyzw,bank-transfer,953721,2,San Mauro a Signa,FI,50058,Firenze,Centro,Toscana
142,142,lct_xyzw,credit-card,1452505,2,Milano,MI,20136,Milano,Nord-ovest,Lombardia
143,143,lct_xyzw,bancomat,1174368,2,Milano,MI,20136,Milano,Nord-ovest,Lombardia
144,144,lct_xyzw,credit-card,399024,1,Milano,MI,20136,Milano,Nord-ovest,Lombardia
145,145,lct_xyzw,outstanding,1234188,2,Milano,MI,20136,Milano,Nord-ovest,Lombardia
146,146,lct_xyzw,cash,1617066,3,Milano,MI,20136,Milano,Nord-ovest,Lombardia
147,147,lct_xyzw,bancomat,1344428,3,Milano,MI,20136,Milano,Nord-ovest,Lombardia
148,148,lct_xyzw,cash,1680832,1,Milano,MI,20136,Milano,Nord-ovest,Lombardia
149,149,lct_xyzw,outstanding,492087,1,Milano,MI,20136,Milano,Nord-ovest,Lombardia
150,150,lct_xyzw,cash,1359723,2,Milano,MI,20136,Milano,Nord-ovest,Lombardia
151,151,lct_xyzw,bancomat,1157732,1,Milano,MI,20136,Milano,Nord-ovest,Lombardia
152,152,lct_xyzw,ticket,1845242,3,Milano,MI,20123,Milano,Nord-ovest,Lombardia
153,153,lct_xyzw,ticket,1054497,2,Milano,MI,20123,Milano,Nord-ovest,Lombardia
154,154,lct_xyzw,credit-card,1031996,3,Milano,MI,20123,Milano,Nord-ovest,Lombardia
155,155,lct_xyzw,credit-card,1559850,2,Milano,MI,20123,Milano,Nord-ovest,Lombardia
156,156,lct_xyzw,cash,758349,2,Milano,MI,20123,Milano,Nord-ovest,Lombardia
157,157,lct_xyzw,cash,1428760,3,Milano,MI,20123,Milano,Nord-ovest,Lombardia
158,158,lct_xyzw,american-express,1557270,2,Peschiera Borromeo,MI,20068,Milano,Nord-ovest,Lombardia
159,159,lct_xyzw,bancomat,1356473,1,Peschiera Borromeo,MI,20068,Milano,Nord-ovest,Lombardia
160,160,lct_xyzw,cash,448198,2,Peschiera Borromeo,MI,20068,Milano,Nord-ovest,Lombardia
161,161,lct_xyzw,cash,1733606,1,Peschiera Borromeo,MI,20068,Milano,Nord-ovest,Lombardia
162,162,lct_xyzw,ticket,1468940,2,Peschiera Borromeo,MI,20068,Milano,Nord-ovest,Lombardia
163,163,lct_xyzw,credit-card,578419,3,Peschiera Borromeo,MI,20068,Milano,Nord-ovest,Lombardia
164,164,lct_xyzw,ticket,1217021,1,Peschiera Borromeo,MI,20068,Milano,Nord-ovest,Lombardia
165,165,lct_xyzw,credit-card,1920965,2,Peschiera Borromeo,MI,20068,Milano,Nord-ovest,Lombardia
166,166,lct_xyzw,bancomat,1348276,2,Peschiera Borromeo,MI,20068,Milano,Nord-ovest,Lombardia
167,167,lct_xyzw,credit-card,1947185,1,Peschiera Borromeo,MI,20068,Milano,Nord-ovest,Lombardia
168,168,lct_xyzw,cash,1532057,3,Peschiera Borromeo,MI,20068,Milano,Nord-ovest,Lombardia
169,169,lct_xyzw,bancomat,1743052,3,Peschiera Borromeo,MI,20068,Milano,Nord-ovest,Lombardia
170,170,lct_xyzw,ticket,1841532,2,Sesto San Giovanni,MI,20099,Milano,Nord-ovest,Lombardia
171,171,lct_xyzw,ticket,1293422,3,Sesto San Giovanni,MI,20099,Milano,Nord-ovest,Lombardia
172,172,lct_xyzw,cash,766269,3,Sesto San Giovanni,MI,20099,Milano,Nord-ovest,Lombardia
173,173,lct_xyzw,outstanding,1183333,3,Sesto San Giovanni,MI,20099,Milano,Nord-ovest,Lombardia
174,174,lct_xyzw,cash,741822,2,Sesto San Giovanni,MI,20099,Milano,Nord-ovest,Lombardia
175,175,lct_xyzw,bancomat,1155102,3,Sesto San Giovanni,MI,20099,Milano,Nord-ovest,Lombardia
176,176,lct_xyzw,outstanding,392707,2,Sesto San Giovanni,MI,20099,Milano,Nord-ovest,Lombardia
177,177,lct_xyzw,bancomat,1120973,2,Sesto San Giovanni,MI,20099,Milano,Nord-ovest,Lombardia
178,178,lct_xyzw,cash,611137,1,Como,CO,22100,Como,Nord-ovest,Lombardia
